,tower_name,location_city,deck_height,tower_coordinates,ref_coordinates,ref_url
83,Vilnius TV Tower,Vilnius,165.0,"[54.68722222222222, 25.21472222222222]",wiki,https://en.wikipedia.org/wiki/Vilnius_TV_Tower
84,Space Needle,Seattle,158.5,"[47.62027777777778, -122.34916666666666]",wiki,https://en.wikipedia.org/wiki/Space_Needle
85,Calgary Tower,Calgary,157.5,"[51.044444444444444, -114.06361111111111]",wiki,https://en.wikipedia.org/wiki/Calgary_Tower
86,Fernsehturm Stuttgart,Stuttgart,153.0,"[48.75666666666667, 9.19138888888889]",wiki,https://en.wikipedia.org/wiki/Fernsehturm_Stuttgart
87,Çamlıca Tower,Istanbul,153.0,"[41.0163724, 29.065540900000002]",geo,https://en.wikipedia.org/wiki/%C3%87aml%C4%B1ca_Tower
88,Avala Tower,Belgrade,135.0,"[44.69597222222222, 20.514444444444443]",wiki,https://en.wikipedia.org/wiki/Avala_Tower
89,Fukuoka Tower,Fukuoka,123.0,"[33.593250000000005, 130.3514722222222]",wiki,https://en.wikipedia.org/wiki/Fukuoka_Tower
90,Kuwait viewing sphere,Kuwait City,120.0,"[29.39, 48.003055555555555]",wiki,https://en.wikipedia.org/wiki/Kuwait_Towers
91,Palace of Culture and Science,Warsaw,114.0,"[52.23166666666667, 21.00638888888889]",wiki,https://en.wikipedia.org/wiki/Palace_of_Culture_and_Science
92,Spinnaker Tower,Portsmouth,110.0,"[50.79561666666667, -1.1085722222222223]",wiki,https://en.wikipedia.org/wiki/Spinnaker_Tower
93,Millennium Center,Sofia,105.0,"[45.8687062, 11.013619]",geo,https://en.wikipedia.org/wiki/Millennium_Center_(Sofia)
94,Kyoto Tower,Kyoto,100.0,"[34.987500000000004, 135.75916666666666]",wiki,https://en.wikipedia.org/wiki/Kyoto_Tower
95,Nagoya TV Tower,Nagoya,100.0,"[35.17241666666666, 136.90833333333333]",wiki,https://en.wikipedia.org/wiki/Nagoya_TV_Tower
96,Tashkent Tower,Tashkent,97.0,"[41.34556944444444, 69.28460277777778]",wiki,https://en.wikipedia.org/wiki/Tashkent_Tower
97,Snezhanka Tower,Pamporovo,93.0,"[41.63722222222222, 24.679722222222225]",wiki,https://en.wikipedia.org/wiki/Snezhanka_Tower
98,Kobe Port Tower,Kobe,90.8,"[34.68263888888889, 135.18669444444444]",wiki,https://en.wikipedia.org/wiki/Kobe_Port_Tower
99,Sapporo TV Tower,Sapporo,90.0,"[43.06111111111111, 141.3563888888889]",wiki,https://en.wikipedia.org/wiki/Sapporo_TV_Tower
100,Tsūtenkaku,Osaka,87.5,"[34.65222222222222, 135.50611111111112]",wiki,https://en.wikipedia.org/wiki/Ts%C5%ABtenkaku
101,Nebraska State Capitol,Lincoln,75.0,"[40.808055555555555, -96.69972222222222]",wiki,https://en.wikipedia.org/wiki/Nebraska_State_Capitol
102,Ashcol,Haifa,75.0,"[32.762899, 35.018141]",wiki,https://he.wikipedia.org/wiki/%D7%9E%D7%92%D7%93%D7%9C_%D7%90%D7%A9%D7%9B%D7%95%D7%9C
